pokedex_id,pokemon_name,primary_type,secondary_type,hp,attack,defense,sp_attack,sp_defense,speed,sprite_url,generation,is_legendary
1,Pokemon_1,Fire,,87,119,130,122,101,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,6,false
2,Pokemon_2,Ground,Normal,35,55,149,33,77,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,7,false
3,Pokemon_3,Bug,Ghost,62,147,31,106,128,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,2,false
4,Pokemon_4,Psychic,,53,85,128,136,88,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,7,false
5,Pokemon_5,Grass,Rock,145,59,61,118,39,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,9,false
6,Pokemon_6,Ghost,,124,90,84,147,116,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,8,false
7,Pokemon_7,Bug,Fighting,108,124,136,34,42,127,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,5,false
8,Pokemon_8,Ghost,,150,71,116,100,75,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,4,false
9,Pokemon_9,Ice,Bug,101,48,42,147,142,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,1,false
10,Pokemon_10,Grass,,88,63,148,87,64,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,9,false
11,Pokemon_11,Rock,,145,145,50,109,102,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,4,false
12,Pokemon_12,Bug,,46,78,89,123,43,129,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,5,false
13,Pokemon_13,Bug,Ice,146,47,109,116,101,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,4,false
14,Pokemon_14,Psychic,,71,105,127,111,59,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,9,false
15,Pokemon_15,Electric,,92,41,126,62,123,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,3,false
