id,name,sprite,types,hp,attack,defense,specialAttack,specialDefense,speed,height,weight,abilities,thunder,thunder2,some
1,Bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,"grass, poison",45,49,49,65,65,45,7,69,"overgrow, chlorophyll",,,0
2,Ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,"grass, poison",60,62,63,80,80,60,10,130,"overgrow, chlorophyll",,,0
3,Venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,"grass, poison",80,82,83,100,100,80,20,1000,"overgrow, chlorophyll",,,0
4,Charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,fire,39,52,43,60,50,65,6,85,"blaze, solar-power",,,0
5,Charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,fire,58,64,58,80,65,80,11,190,"blaze, solar-power",,,0
6,Charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"fire, flying",78,84,78,109,85,100,17,905,"blaze, solar-power",,,0
7,Squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,water,44,48,65,50,64,43,5,90,"torrent, rain-dish",,,0
8,Wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,water,59,63,80,65,80,58,10,225,"torrent, rain-dish",,,0
9,Blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,water,79,83,100,85,105,78,16,855,"torrent, rain-dish",,,0
10,Caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,bug,45,30,35,20,20,45,3,29,"shield-dust, run-away",,,0
11,Metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,bug,50,20,55,25,25,30,7,99,shed-skin,,,0
12,Butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,"bug, flying",60,45,50,90,80,70,11,320,"compound-eyes, tinted-lens",,,0
13,Weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,"bug, poison",40,35,30,20,20,50,3,32,"shield-dust, run-away",,,0
14,Kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,"bug, poison",45,25,50,25,25,35,6,100,shed-skin,,,0
15,Beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,"bug, poison",65,90,40,45,80,75,10,295,"swarm, sniper",,,0
16,Pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,"normal, flying",40,45,40,35,35,56,3,18,"keen-eye, tangled-feet, big-pecks",,,0
17,Pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,"normal, flying",63,60,55,50,50,71,11,300,"keen-eye, tangled-feet, big-pecks",,,0
18,Pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"normal, flying",83,80,75,70,70,101,15,395,"keen-eye, tangled-feet, big-pecks",,,0
19,Rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,normal,30,56,35,25,35,72,3,35,"run-away, guts, hustle",,,0
20,Raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,normal,55,81,60,50,70,97,7,185,"run-away, guts, hustle",,,0
21,Spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,"normal, flying",40,60,30,31,31,70,3,20,"keen-eye, sniper",,,0
22,Fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,"normal, flying",65,90,65,61,61,100,12,380,"keen-eye, sniper",,,0
23,Ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,poison,35,60,44,40,54,55,20,69,"intimidate, shed-skin, unnerve",,,0
24,Arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,poison,60,95,69,65,79,80,35,650,"intimidate, shed-skin, unnerve",,,0
25,Pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,electric,35,55,40,50,50,90,4,60,"static, lightning-rod",,,0
26,Raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,electric,60,90,55,90,80,110,8,300,"static, lightning-rod",,,0
27,Sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,ground,50,75,85,20,30,40,6,120,"sand-veil, sand-rush",,,0
28,Sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,ground,75,100,110,45,55,65,10,295,"sand-veil, sand-rush",,,0
29,Nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,poison,55,47,52,40,40,41,4,70,"poison-point, rivalry, hustle",,,0
30,Nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,poison,70,62,67,55,55,56,8,200,"poison-point, rivalry, hustle",,,0
